Cost 95
Edges 95
E 127 128
E 126 128
E 124 128
E 122 124
E 121 122
E 120 128
E 118 120
E 117 118
E 116 120
E 115 116
E 114 116
E 112 128
E 110 112
E 109 110
E 108 112
E 107 108
E 106 108
E 104 112
E 103 104
E 102 104
E 100 104
E 98 100
E 97 98
E 96 128
E 94 96
E 93 94
E 92 96
E 91 92
E 90 92
E 88 96
E 87 88
E 86 88
E 84 88
E 82 84
E 81 82
E 80 96
E 79 80
E 78 80
E 76 80
E 74 76
E 73 74
E 72 80
E 70 72
E 69 70
E 68 72
E 67 68
E 66 68
E 64 128
E 62 64
E 61 62
E 60 64
E 59 60
E 58 60
E 56 64
E 55 56
E 54 56
E 52 56
E 50 52
E 49 50
E 48 64
E 47 48
E 46 48
E 44 48
E 42 44
E 41 42
E 40 48
E 38 40
E 37 38
E 36 40
E 35 36
E 34 36
E 32 64
E 31 32
E 30 32
E 28 32
E 26 28
E 25 26
E 24 32
E 22 24
E 21 22
E 20 24
E 19 20
E 18 20
E 16 32
E 14 16
E 13 14
E 12 16
E 11 12
E 10 12
E 8 16
E 7 8
E 6 8
E 4 8
E 2 4
E 1 2
