Cost 218
Edges 154
E 512 510
E 512 508
E 512 504
E 512 496
E 512 480
E 510 509
E 510 506
E 510 502
E 510 494
E 510 446
E 509 505
E 509 501
E 509 493
E 509 477
E 509 381
E 508 507
E 508 492
E 508 476
E 508 380
E 507 499
E 507 491
E 507 475
E 507 443
E 506 498
E 506 490
E 506 474
E 505 497
E 505 473
E 505 441
E 504 503
E 504 488
E 504 440
E 503 487
E 503 471
E 503 439
E 502 438
E 502 374
E 501 485
E 499 483
E 499 467
E 498 482
E 498 466
E 498 434
E 497 481
E 496 495
E 496 368
E 495 431
E 494 462
E 493 429
E 492 484
E 492 460
E 490 458
E 488 456
E 485 453
E 485 421
E 484 452
E 484 420
E 483 451
E 483 355
E 482 450
E 482 418
E 481 449
E 480 416
E 477 349
E 476 468
E 475 347
E 473 457
E 473 409
E 471 407
E 467 403
E 466 402
E 462 398
E 460 396
E 457 393
E 456 328
E 453 389
E 451 387
E 449 321
E 441 425
E 439 311
E 438 406
E 434 306
E 431 399
E 425 297
E 406 278
E 402 274
E 399 271
E 396 268
E 374 358
E 368 304
E 512 511
E 510 382
E 508 500
E 506 442
E 505 489
E 504 248
E 502 486
E 502 470
E 501 437
E 497 465
E 497 369
E 497 241
E 496 432
E 495 463
E 495 239
E 492 364
E 491 459
E 490 234
E 487 359
E 483 419
E 480 224
E 477 413
E 476 412
E 474 346
E 471 343
E 468 212
E 462 334
E 458 202
E 456 392
E 453 197
E 452 324
E 450 386
E 446 190
E 443 315
E 443 187
E 440 312
E 429 301
E 421 165
E 420 164
E 418 290
E 416 288
E 409 153
E 407 151
E 403 275
E 398 142
E 393 265
E 389 261
E 387 131
E 381 125
E 380 124
E 358 102
E 355 99
E 349 93
E 347 91
E 328 72
E 321 65
E 311 55
E 306 50
E 304 48
E 297 41
E 278 22
E 274 18
E 271 15
E 268 12
