Cost 20604
Edges 204
E 253 254
E 250 252
E 231 247
E 227 231
E 222 254
E 217 219
E 212 220
E 207 223
E 200 232
E 197 199
E 194 198
E 188 192
E 180 184
E 178 182
E 176 240
E 172 188
E 157 159
E 157 189
E 149 151
E 148 152
E 147 179
E 146 154
E 145 177
E 143 144
E 137 138
E 133 197
E 131 163
E 129 137
E 127 128
E 122 250
E 114 116
E 111 239
E 109 110
E 108 112
E 106 108
E 103 111
E 100 104
E 100 108
E 99 115
E 98 106
E 90 92
E 89 121
E 88 96
E 87 88
E 84 212
E 82 84
E 79 207
E 77 79
E 77 109
E 74 78
E 72 104
E 67 71
E 54 182
E 50 114
E 47 63
E 47 111
E 40 48
E 32 96
E 29 30
E 21 23
E 18 22
E 13 77
E 11 15
E 11 43
E 10 138
E 7 15
E 3 11
E 3 35
E 2 4
E 2 6
E 1 3
E 1 129
E 250 254
E 245 246
E 244 252
E 229 245
E 216 224
E 214 216
E 211 212
E 210 214
E 201 202
E 199 200
E 199 207
E 194 196
E 194 202
E 193 195
E 189 190
E 189 253
E 180 244
E 176 192
E 175 176
E 175 191
E 173 175
E 170 174
E 170 234
E 166 182
E 159 223
E 156 188
E 154 186
E 152 160
E 148 156
E 147 155
E 144 160
E 143 159
E 142 144
E 140 144
E 133 149
E 130 146
E 123 127
E 116 244
E 115 119
E 115 243
E 113 115
E 107 123
E 106 110
E 106 234
E 98 102
E 98 226
E 97 99
E 92 96
E 91 219
E 86 214
E 84 116
E 77 78
E 77 205
E 74 76
E 71 199
E 65 69
E 63 64
E 63 127
E 61 125
E 57 59
E 56 64
E 56 184
E 55 119
E 50 178
E 46 62
E 43 59
E 38 54
E 33 97
E 32 160
E 31 32
E 31 95
E 30 62
E 28 156
E 25 29
E 24 88
E 23 87
E 22 54
E 18 146
E 9 25
E 1 65
E 245 247
E 243 251
E 231 232
E 222 224
E 213 214
E 202 234
E 201 203
E 201 233
E 195 203
E 185 186
E 166 168
E 164 180
E 147 148
E 146 150
E 138 140
E 136 168
E 126 128
E 125 126
E 123 124
E 121 122
E 113 117
E 97 98
E 91 95
E 73 89
E 66 74
E 57 58
E 52 116
E 49 57
E 46 174
E 44 172
E 34 50
E 33 161
E 8 72
E 6 8
E 254 256
E 241 245
E 238 254
E 236 240
E 181 182
E 171 172
E 167 168
E 163 171
E 144 208
E 120 128
E 93 95
E 81 82
E 48 112
E 37 38
E 16 144
E 9 41
E 177 178
E 3 19
