Cost 32742
Edges 259
E 509 493
E 502 246
E 498 482
E 496 488
E 494 366
E 492 490
E 492 460
E 481 225
E 477 469
E 477 221
E 473 409
E 472 344
E 471 467
E 468 467
E 466 210
E 461 397
E 454 450
E 450 194
E 447 431
E 447 415
E 445 441
E 445 429
E 438 182
E 430 429
E 429 421
E 426 170
E 423 295
E 422 166
E 421 417
E 418 417
E 415 411
E 415 287
E 411 155
E 403 387
E 384 352
E 383 381
E 383 375
E 383 367
E 381 373
E 377 361
E 367 365
E 366 362
E 365 357
E 358 326
E 356 100
E 352 348
E 349 285
E 348 332
E 332 76
E 330 329
E 329 321
E 327 325
E 319 287
E 311 279
E 285 269
E 279 263
E 258 257
E 254 238
E 252 220
E 240 236
E 227 225
E 219 203
E 214 210
E 209 193
E 204 140
E 200 196
E 196 194
E 194 193
E 186 170
E 182 166
E 176 175
E 175 167
E 169 137
E 168 166
E 167 135
E 156 154
E 156 140
E 152 136
E 148 20
E 139 137
E 123 59
E 117 113
E 114 113
E 114 98
E 100 98
E 59 57
E 58 57
E 509 445
E 504 472
E 494 490
E 493 485
E 490 482
E 488 232
E 487 423
E 482 481
E 482 418
E 476 220
E 472 471
E 460 204
E 454 198
E 447 445
E 441 409
E 439 423
E 439 183
E 431 423
E 431 175
E 430 422
E 426 418
E 422 390
E 414 410
E 414 286
E 411 283
E 410 154
E 397 141
E 384 320
E 384 128
E 377 345
E 375 371
E 362 330
E 361 353
E 358 357
E 358 354
E 356 354
E 354 353
E 353 321
E 342 341
E 325 321
E 321 257
E 311 309
E 295 263
E 287 285
E 283 267
E 255 191
E 252 244
E 246 230
E 245 213
E 240 238
E 240 176
E 232 200
E 231 227
E 230 229
E 222 221
E 221 217
E 220 219
E 219 155
E 216 88
E 214 198
E 213 85
E 209 145
E 205 141
E 203 139
E 191 183
E 186 185
E 186 58
E 185 177
E 177 145
E 168 40
E 156 148
E 144 140
E 136 135
E 117 85
E 108 106
E 88 24
E 54 38
E 40 38
E 24 20
E 512 508
E 509 253
E 508 476
E 504 502
E 492 484
E 487 455
E 485 229
E 484 452
E 473 457
E 467 403
E 390 389
E 384 383
E 355 353
E 347 331
E 344 342
E 331 267
E 286 30
E 253 221
E 236 108
E 221 205
E 217 89
E 157 141
E 141 13
E 106 74
E 488 424
E 455 199
E 438 434
E 128 127
E 492 491
E 500 498
E 496 432
E 491 459
E 469 465
E 468 212
E 463 461
E 445 437
E 442 434
E 412 411
E 392 136
E 386 258
E 373 369
E 364 362
E 355 99
E 354 290
E 349 93
E 347 91
E 346 345
E 343 341
E 301 269
E 288 286
E 279 275
E 254 190
E 239 231
E 224 222
E 205 197
E 202 194
E 200 72
E 193 65
E 187 185
E 168 164
E 152 151
E 144 142
E 125 117
E 124 123
E 76 12
E 48 40
E 20 18
E 15 13
E 512 511
E 490 234
E 423 419
E 414 413
E 389 261
E 359 327
E 334 326
E 320 312
E 319 315
E 248 216
E 245 241
E 229 165
E 183 55
E 169 41
E 153 137
E 30 22
E 486 230
E 452 324
E 102 98
E 54 50
E 489 457
E 387 131
E 384 382
E 329 265
E 470 466
