Cost 87
Edges 60
E 243 242
E 243 241
E 243 240
E 243 234
E 243 225
E 243 216
E 242 239
E 242 236
E 242 233
E 242 188
E 241 238
E 241 235
E 241 232
E 241 223
E 240 231
E 240 222
E 239 221
E 238 211
E 238 184
E 236 227
E 236 218
E 235 217
E 235 208
E 234 228
E 233 206
E 231 177
E 227 173
E 225 171
E 222 195
E 218 191
E 217 163
E 216 210
E 211 202
E 243 237
E 242 224
E 241 79
E 239 212
E 239 158
E 238 229
E 234 153
E 232 178
E 228 201
E 227 65
E 223 196
E 222 60
E 221 167
E 217 136
E 216 135
E 210 183
E 208 46
E 206 44
E 202 121
E 195 33
E 191 110
E 188 26
E 184 103
E 177 15
E 173 92
E 171 90
E 163 1
