Cost 15710
Edges 128
E 243 241
E 240 186
E 236 182
E 235 217
E 235 154
E 233 206
E 230 227
E 230 203
E 219 218
E 218 56
E 215 206
E 214 187
E 209 191
E 207 198
E 203 176
E 202 40
E 200 191
E 200 119
E 199 172
E 192 190
E 186 177
E 177 176
E 174 172
E 174 165
E 172 163
E 165 84
E 161 152
E 159 141
E 154 73
E 149 95
E 146 137
E 146 119
E 137 56
E 123 96
E 102 101
E 102 21
E 101 100
E 96 95
E 88 85
E 85 82
E 85 4
E 84 83
E 83 82
E 81 78
E 77 59
E 76 73
E 76 22
E 75 73
E 72 66
E 67 40
E 59 32
E 59 5
E 53 52
E 35 32
E 24 21
E 5 4
E 243 162
E 242 239
E 242 215
E 241 235
E 241 214
E 236 235
E 235 226
E 233 227
E 230 149
E 227 146
E 221 218
E 216 215
E 215 53
E 209 182
E 202 199
E 198 192
E 184 22
E 182 164
E 181 100
E 173 172
E 173 11
E 165 164
E 162 161
E 161 155
E 159 105
E 152 151
E 133 52
E 128 119
E 128 47
E 101 83
E 81 27
E 78 24
E 75 66
E 72 70
E 35 29
E 12 11
E 240 159
E 234 207
E 221 220
E 220 193
E 199 190
E 156 155
E 132 123
E 192 30
E 228 226
E 229 67
E 228 201
E 227 65
E 202 121
E 196 190
E 187 178
E 183 181
E 163 1
E 158 77
E 119 92
E 33 30
E 27 26
E 234 153
E 233 224
E 217 136
E 206 44
E 176 167
E 141 60
E 135 132
E 110 29
E 105 103
E 90 88
E 47 46
E 239 212
E 177 15
E 79 76
E 237 219
