Cost 43342
Edges 352
E 725 707
E 718 712
E 718 556
E 715 712
E 715 661
E 713 659
E 709 706
E 708 546
E 707 680
E 706 703
E 703 460
E 702 699
E 699 681
E 698 695
E 698 680
E 697 535
E 691 529
E 691 205
E 689 527
E 686 659
E 684 682
E 681 680
E 681 679
E 679 598
E 679 517
E 677 191
E 669 667
E 665 503
E 664 178
E 662 661
E 651 650
E 643 157
E 642 641
E 641 632
E 641 560
E 639 612
E 636 555
E 631 577
E 626 383
E 624 381
E 621 378
E 620 617
E 620 602
E 617 590
E 616 373
E 609 600
E 607 604
E 607 598
E 602 596
E 600 573
E 597 596
E 596 515
E 590 587
E 588 587
E 587 578
E 585 342
E 584 98
E 582 501
E 576 495
E 573 330
E 564 563
E 556 70
E 555 546
E 543 489
E 536 50
E 535 517
E 532 523
E 528 527
E 528 501
E 523 280
E 517 490
E 516 489
E 512 503
E 512 494
E 500 497
E 499 496
E 495 492
E 492 490
E 486 483
E 479 478
E 478 235
E 474 472
E 474 420
E 472 463
E 468 467
E 465 222
E 463 382
E 462 381
E 462 300
E 461 380
E 460 217
E 459 297
E 457 376
E 451 289
E 443 416
E 432 423
E 432 270
E 423 422
E 422 416
E 420 418
E 420 258
E 418 409
E 409 247
E 405 351
E 388 361
E 387 144
E 385 382
E 385 331
E 382 379
E 378 369
E 351 348
E 331 325
E 331 250
E 325 82
E 324 322
E 319 76
E 317 74
E 297 270
E 295 286
E 293 50
E 289 280
E 286 280
E 277 250
E 271 244
E 258 15
E 246 244
E 242 241
E 241 214
E 240 213
E 235 217
E 235 181
E 229 226
E 228 219
E 226 217
E 224 223
E 224 170
E 223 217
E 219 217
E 197 170
E 191 110
E 180 178
E 180 18
E 164 83
E 157 148
E 144 117
E 126 99
E 117 115
E 110 83
E 107 98
E 105 104
E 99 98
E 82 1
E 76 49
E 75 74
E 71 70
E 50 49
E 49 40
E 42 40
E 42 15
E 39 12
E 725 671
E 724 715
E 718 691
E 718 664
E 715 229
E 713 227
E 709 682
E 706 652
E 702 459
E 700 457
E 699 456
E 698 536
E 697 616
E 684 681
E 677 515
E 674 671
E 674 665
E 669 588
E 668 659
E 668 587
E 664 655
E 661 499
E 659 650
E 652 649
E 651 489
E 649 163
E 643 616
E 642 624
E 641 155
E 640 631
E 640 586
E 636 633
E 636 609
E 636 582
E 632 631
E 629 626
E 624 543
E 618 617
E 618 591
E 612 126
E 605 604
E 604 361
E 600 597
E 593 590
E 585 99
E 584 578
E 577 496
E 563 560
E 560 317
E 555 69
E 529 286
E 503 260
E 498 489
E 494 491
E 486 432
E 483 465
E 483 402
E 482 479
E 475 472
E 468 465
E 467 461
E 465 464
E 455 293
E 422 421
E 416 407
E 410 407
E 405 324
E 402 348
E 402 159
E 393 390
E 390 388
E 383 382
E 376 295
E 369 342
E 341 260
E 300 246
E 271 28
E 242 224
E 240 159
E 214 187
E 213 132
E 184 181
E 184 103
E 161 160
E 161 155
E 159 105
E 151 148
E 134 107
E 132 130
E 126 117
E 120 39
E 115 34
E 99 93
E 96 93
E 75 21
E 21 12
E 700 694
E 675 594
E 673 667
E 647 593
E 623 380
E 623 137
E 594 576
E 576 575
E 497 496
E 482 401
E 472 469
E 451 442
E 430 421
E 387 306
E 361 352
E 330 87
E 319 310
E 168 87
E 591 510
E 510 507
E 727 673
E 708 654
E 668 506
E 663 662
E 656 575
E 655 493
E 644 643
E 639 630
E 633 579
E 621 540
E 607 580
E 552 498
E 518 491
E 516 30
E 507 264
E 500 14
E 475 394
E 473 464
E 443 281
E 440 197
E 410 329
E 405 399
E 400 373
E 375 348
E 370 352
E 350 341
E 323 322
E 261 18
E 227 146
E 222 220
E 172 163
E 168 166
E 165 164
E 161 143
E 114 87
E 109 28
E 75 73
E 71 62
E 689 688
E 687 686
E 684 441
E 675 672
E 661 658
E 638 629
E 613 532
E 604 595
E 594 108
E 564 78
E 553 310
E 528 526
E 469 415
E 455 212
E 439 277
E 306 303
E 265 247
E 234 228
E 215 134
E 205 43
E 187 106
E 130 112
E 123 96
E 120 111
E 104 101
E 71 17
E 715 634
E 704 650
E 612 611
E 609 366
E 489 3
E 483 480
E 431 430
E 380 326
E 379 298
E 292 289
E 695 209
E 341 332
