Cost 830
Edges 586
E 2048 2047
E 2048 2046
E 2048 2044
E 2048 2040
E 2048 2032
E 2048 1984
E 2048 1920
E 2048 1792
E 2047 2045
E 2047 2043
E 2047 2039
E 2047 2031
E 2047 2015
E 2047 1919
E 2046 2042
E 2046 2038
E 2046 2030
E 2046 2014
E 2046 1982
E 2045 2041
E 2045 2037
E 2045 2029
E 2045 2013
E 2045 1917
E 2045 1789
E 2044 2028
E 2044 2012
E 2044 1980
E 2044 1916
E 2043 2035
E 2043 2027
E 2043 2011
E 2043 1979
E 2042 2034
E 2042 2026
E 2042 2010
E 2042 1978
E 2042 1914
E 2042 1530
E 2041 2033
E 2041 2025
E 2041 2009
E 2041 1977
E 2041 1017
E 2040 2024
E 2040 2008
E 2040 1976
E 2039 2007
E 2039 1975
E 2039 1911
E 2038 2022
E 2038 2006
E 2038 1782
E 2037 2005
E 2037 1973
E 2037 1909
E 2037 1781
E 2037 1525
E 2035 2019
E 2035 2003
E 2035 1971
E 2035 1523
E 2034 2018
E 2034 2002
E 2034 1970
E 2033 2017
E 2033 1969
E 2033 1905
E 2033 1777
E 2032 2000
E 2032 1968
E 2031 1999
E 2031 1967
E 2031 1519
E 2030 1998
E 2030 1966
E 2030 1902
E 2030 1774
E 2029 1997
E 2029 1965
E 2029 1901
E 2028 2020
E 2028 1996
E 2028 1964
E 2028 1772
E 2027 1963
E 2027 1899
E 2026 1962
E 2026 1898
E 2025 1993
E 2025 1897
E 2025 1769
E 2025 1513
E 2024 1992
E 2024 1960
E 2024 1896
E 2024 1768
E 2022 1990
E 2022 1894
E 2022 1766
E 2020 1988
E 2020 1956
E 2020 1508
E 2019 1987
E 2019 1955
E 2019 1891
E 2018 1986
E 2018 1890
E 2018 1762
E 2017 1985
E 2017 1889
E 2017 1761
E 2015 1951
E 2015 1759
E 2014 1950
E 2014 1886
E 2013 1949
E 2013 1501
E 2012 2004
E 2012 1948
E 2012 1884
E 2012 1756
E 2012 1500
E 2011 1947
E 2011 1883
E 2011 1755
E 2010 1946
E 2010 1882
E 2010 1754
E 2009 1945
E 2009 1497
E 2008 1944
E 2008 1880
E 2008 1752
E 2007 1991
E 2007 1943
E 2007 1751
E 2006 1942
E 2005 1989
E 2005 1941
E 2005 1877
E 2005 1749
E 2004 1940
E 2004 1876
E 2003 1939
E 2003 1875
E 2002 1938
E 2002 1874
E 2002 1746
E 2000 1488
E 1999 1935
E 1999 1871
E 1999 1743
E 1998 1934
E 1998 1870
E 1998 1742
E 1997 1933
E 1996 1932
E 1996 1868
E 1993 1929
E 1993 1737
E 1992 1928
E 1992 968
E 1991 1863
E 1991 1735
E 1990 1926
E 1990 1862
E 1989 1925
E 1989 1861
E 1988 1924
E 1988 1860
E 1987 1923
E 1987 1475
E 1986 1922
E 1986 1858
E 1985 1921
E 1985 1729
E 1984 1472
E 1982 1854
E 1982 1726
E 1980 1972
E 1980 1724
E 1979 1851
E 1979 1723
E 1977 1721
E 1976 1848
E 1975 1719
E 1973 1957
E 1972 1844
E 1972 1716
E 1971 1459
E 1970 1842
E 1969 1841
E 1968 1840
E 1967 1839
E 1967 1711
E 1966 1710
E 1963 1931
E 1963 1835
E 1963 1451
E 1962 1930
E 1962 1834
E 1960 1832
E 1960 1448
E 1957 1829
E 1956 1828
E 1955 1699
E 1951 927
E 1950 1694
E 1949 1821
E 1947 1819
E 1946 1818
E 1945 1817
E 1944 1816
E 1943 1815
E 1942 1814
E 1942 1430
E 1940 1684
E 1939 1811
E 1938 1810
E 1938 1426
E 1935 1807
E 1934 1422
E 1933 1805
E 1932 1804
E 1932 1676
E 1931 1675
E 1929 1673
E 1928 1672
E 1926 1798
E 1926 1670
E 1925 1413
E 1924 1796
E 1923 1795
E 1921 1793
E 1921 1665
E 1920 1888
E 1920 1664
E 1919 1855
E 1917 1853
E 1917 1661
E 1916 1908
E 1916 892
E 1911 1895
E 1911 1399
E 1909 1397
E 1908 1652
E 1905 1873
E 1905 1649
E 1905 1393
E 1902 1390
E 1901 1645
E 1899 1643
E 1898 1866
E 1898 1386
E 1897 1833
E 1897 1641
E 1896 1640
E 1895 1383
E 1894 1830
E 1891 1635
E 1888 1824
E 1886 1630
E 1884 1372
E 1877 1365
E 1875 851
E 1873 1617
E 1871 847
E 1870 1614
E 1868 1612
E 1866 1610
E 1866 1354
E 1863 1799
E 1861 1349
E 1860 1604
E 1858 1602
E 1854 1342
E 1851 1595
E 1848 1592
E 1844 1588
E 1842 1586
E 1841 1585
E 1840 1584
E 1835 1323
E 1834 1578
E 1833 1321
E 1829 1573
E 1828 1316
E 1824 1568
E 1818 1562
E 1817 1561
E 1816 792
E 1815 1559
E 1814 1558
E 1810 1554
E 1805 1549
E 1804 1548
E 1799 1543
E 1798 1542
E 1796 1540
E 1795 1283
E 1793 1281
E 1792 1760
E 1789 1725
E 1782 1654
E 1782 1270
E 1777 1745
E 1766 1702
E 1762 1698
E 1760 1696
E 1759 1631
E 1752 1240
E 1745 1681
E 1742 1230
E 1735 711
E 1725 1213
E 1719 1207
E 1699 1571
E 1698 1186
E 1681 1169
E 1676 1164
E 1675 1163
E 1654 1142
E 1641 1129
E 1631 1119
E 1612 1100
E 1604 1092
E 1602 1090
E 1595 1083
E 1584 1072
E 1573 549
E 1562 1050
E 1561 537
E 1559 1047
E 1549 1037
E 1540 1028
E 1530 1274
E 1525 1509
E 1523 1267
E 1519 1263
E 1513 1449
E 1422 1294
E 2048 2016
E 2047 1983
E 2047 1023
E 2046 1022
E 2045 1981
E 2044 2036
E 2043 1531
E 2042 1786
E 2041 1913
E 2040 1528
E 2039 2023
E 2039 1015
E 2038 1910
E 2037 2021
E 2035 1779
E 2034 1522
E 2033 2001
E 2032 1904
E 2031 1775
E 2030 1518
E 2029 1517
E 2028 1900
E 2028 1004
E 2027 1995
E 2026 1994
E 2025 1961
E 2022 1958
E 2018 1954
E 2018 994
E 2015 1887
E 2013 1757
E 2007 983
E 2006 1750
E 2000 1744
E 1997 973
E 1993 1865
E 1992 1864
E 1991 1927
E 1990 1478
E 1988 1732
E 1986 1474
E 1984 1952
E 1980 1852
E 1978 1466
E 1976 1720
E 1973 1461
E 1971 1843
E 1970 1714
E 1969 1937
E 1969 945
E 1968 1456
E 1967 943
E 1965 1837
E 1964 1708
E 1957 1701
E 1955 1827
E 1955 1443
E 1951 1439
E 1949 1693
E 1948 1820
E 1947 1691
E 1946 922
E 1942 918
E 1941 1813
E 1941 1685
E 1940 916
E 1939 1427
E 1935 911
E 1934 1806
E 1933 1421
E 1932 1420
E 1930 1674
E 1924 900
E 1922 1794
E 1916 1404
E 1914 1658
E 1911 1655
E 1899 1867
E 1894 1638
E 1891 867
E 1890 1634
E 1890 1378
E 1889 1377
E 1886 1374
E 1883 1627
E 1882 1626
E 1880 1624
E 1876 1364
E 1875 1363
E 1874 850
E 1871 1359
E 1862 838
E 1861 1605
E 1855 1343
E 1854 1598
E 1853 1597
E 1848 824
E 1842 1330
E 1839 815
E 1834 810
E 1833 1577
E 1832 1576
E 1830 1318
E 1829 805
E 1824 800
E 1821 797
E 1819 795
E 1817 1305
E 1816 1304
E 1811 1555
E 1807 1551
E 1804 1292
E 1799 1287
E 1795 1539
E 1793 769
E 1792 1280
E 1781 757
E 1774 750
E 1772 1260
E 1769 745
E 1768 744
E 1761 1249
E 1756 1244
E 1755 731
E 1754 1242
E 1751 1239
E 1749 1237
E 1746 722
E 1743 719
E 1737 1225
E 1735 1223
E 1729 705
E 1726 702
E 1724 700
E 1723 699
E 1721 1209
E 1716 1204
E 1711 1199
E 1710 686
E 1702 1190
E 1699 675
E 1696 672
E 1694 1182
E 1684 660
E 1673 649
E 1672 1160
E 1670 646
E 1665 1153
E 1664 640
E 1661 1149
E 1652 628
E 1649 1137
E 1645 621
E 1643 1131
E 1640 1128
E 1635 611
E 1630 606
E 1617 593
E 1614 1102
E 1612 588
E 1610 586
E 1595 571
E 1592 1080
E 1588 1076
E 1586 562
E 1585 561
E 1578 1066
E 1573 1061
E 1571 547
E 1568 1056
E 1561 1049
E 1559 535
E 1558 1046
E 1554 1042
E 1548 524
E 1543 519
E 1542 518
E 1509 485
E 1508 484
E 1501 477
E 1500 476
E 1497 473
E 1488 464
E 1475 451
E 1472 448
E 1459 435
E 1451 427
E 1449 425
E 1448 424
E 1430 406
E 1426 402
E 1422 398
E 1413 389
E 1399 375
E 1397 373
E 1393 369
E 1390 366
E 1386 362
E 1383 359
E 1372 348
E 1365 341
E 1354 330
E 1349 1093
E 1342 318
E 1323 299
E 1321 297
E 1316 292
E 1294 270
E 1283 1027
E 1281 257
E 1274 250
E 1270 246
E 1267 243
E 1263 239
E 1240 216
E 1230 206
E 1213 189
E 1207 183
E 1186 162
E 1169 145
E 1164 140
E 1163 139
E 1142 118
E 1129 105
E 1119 95
E 1100 76
E 1092 68
E 1090 66
E 1083 59
E 1072 48
E 1050 26
E 1047 23
E 1037 13
E 1028 4
E 1017 889
E 968 840
E 927 415
E 892 380
E 851 339
E 847 335
E 792 280
E 711 199
E 549 37
E 537 25
