Cost 191
Edges 191
E 254 256
E 253 254
E 252 256
E 251 252
E 250 252
E 248 256
E 247 248
E 246 248
E 244 248
E 242 244
E 241 242
E 240 256
E 239 240
E 238 240
E 236 240
E 234 236
E 233 234
E 232 240
E 230 232
E 229 230
E 228 232
E 227 228
E 226 228
E 224 256
E 223 224
E 222 224
E 220 224
E 218 220
E 217 218
E 216 224
E 214 216
E 213 214
E 212 216
E 211 212
E 210 212
E 208 224
E 206 208
E 205 206
E 204 208
E 203 204
E 202 204
E 200 208
E 199 200
E 198 200
E 196 200
E 194 196
E 193 194
E 192 256
E 191 192
E 190 192
E 188 192
E 186 188
E 185 186
E 184 192
E 182 184
E 181 182
E 180 184
E 179 180
E 178 180
E 176 192
E 174 176
E 173 174
E 172 176
E 171 172
E 170 172
E 168 176
E 167 168
E 166 168
E 164 168
E 162 164
E 161 162
E 160 192
E 158 160
E 157 158
E 156 160
E 155 156
E 154 156
E 152 160
E 151 152
E 150 152
E 148 152
E 146 148
E 145 146
E 144 160
E 143 144
E 142 144
E 140 144
E 138 140
E 137 138
E 136 144
E 134 136
E 133 134
E 132 136
E 131 132
E 130 132
E 128 256
E 127 128
E 126 128
E 124 128
E 122 124
E 121 122
E 120 128
E 118 120
E 117 118
E 116 120
E 115 116
E 114 116
E 112 128
E 110 112
E 109 110
E 108 112
E 107 108
E 106 108
E 104 112
E 103 104
E 102 104
E 100 104
E 98 100
E 97 98
E 96 128
E 94 96
E 93 94
E 92 96
E 91 92
E 90 92
E 88 96
E 87 88
E 86 88
E 84 88
E 82 84
E 81 82
E 80 96
E 79 80
E 78 80
E 76 80
E 74 76
E 73 74
E 72 80
E 70 72
E 69 70
E 68 72
E 67 68
E 66 68
E 64 128
E 62 64
E 61 62
E 60 64
E 59 60
E 58 60
E 56 64
E 55 56
E 54 56
E 52 56
E 50 52
E 49 50
E 48 64
E 47 48
E 46 48
E 44 48
E 42 44
E 41 42
E 40 48
E 38 40
E 37 38
E 36 40
E 35 36
E 34 36
E 32 64
E 31 32
E 30 32
E 28 32
E 26 28
E 25 26
E 24 32
E 22 24
E 21 22
E 20 24
E 19 20
E 18 20
E 16 32
E 14 16
E 13 14
E 12 16
E 11 12
E 10 12
E 8 16
E 7 8
E 6 8
E 4 8
E 2 4
E 1 2
