Cost 7379
Edges 60
E 120 119
E 120 118
E 118 18
E 107 57
E 103 101
E 102 2
E 101 51
E 100 98
E 98 88
E 95 94
E 95 85
E 94 44
E 92 17
E 88 63
E 72 57
E 61 36
E 61 11
E 51 1
E 50 35
E 44 19
E 41 36
E 41 16
E 35 10
E 25 21
E 25 10
E 21 6
E 19 16
E 11 6
E 10 8
E 8 7
E 6 1
E 2 1
E 124 119
E 124 109
E 120 115
E 119 19
E 110 107
E 110 85
E 100 25
E 97 92
E 93 91
E 93 88
E 91 81
E 70 55
E 55 51
E 18 17
E 97 47
E 117 92
E 115 113
E 109 84
E 105 102
E 103 3
E 72 52
E 70 68
E 65 63
E 50 49
E 20 10
E 96 81
E 31 6
E 12 7
